Rank,Type,Institute,Branch,Avg General-GN close,2023,2024,2025
168,NIT,Motilal Nehru National Institute of Technology Allahabad,Chemical Engineering,22533,24068,21061,22469
169,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Computer Science and Engineering,22605,21779,22849,23187
170,NIT,National Institute of Technology Patna,Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design,22675,21954,22769,23301
171,GFTI,"International Institute of Information Technology, Naya Raipur",Data Science and Artificial Intelligence,22680,23870,22017,22152
172,NIT,"National Institute of Technology, Warangal",Physics,22728,29722,22490,15971
173,NIT,National Institute of Technology Patna,Electronics Engineering (VLSI Design and Technology),22770,,,22770
174,NIT,"National Institute of Technology, Tiruchirappalli",Metallurgical and Materials Engineering,22814,24678,22521,21243
175,NIT,Maulana Azad National Institute of Technology Bhopal,B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree),22839,,,22839
176,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Computer Science and Engineering,22888,21987,21838,24840
177,NIT,National Institute of Technology Delhi,Mechanical Engineering,22933,25542,22208,21049
178,NIT,"National Institute of Technology, Rourkela",Chemical Engineering,23031,26057,22091,20944
179,NIT,"National Institute of Technology Karnataka, Surathkal",Civil Engineering,23157,23632,22939,22901
180,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Mechanical Engineering,23394,25462,23108,21612
181,NIT,"National Institute of Technology, Srinagar",Computer Science and Engineering,23608,22814,21839,26171
182,NIT,National Institute of Technology Goa,Electrical and Electronics Engineering,23633,24214,23326,23358
183,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Artificial Intelligence),23637,,23637,
184,NIT,"National Institute of Technology, Tiruchirappalli",Production Engineering,23708,25958,24286,20879
185,NIT,"National Institute of Technology Karnataka, Surathkal",Metallurgical and Materials Engineering,23835,25127,23412,22965
186,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Aerospace Engineering,23868,23280,21831,26492
187,NIT,National Institute of Technology Puducherry,Electronics and Communication Engineering,23990,23819,24073,24078
188,NIT,"National Institute of Technology, Warangal",Mathematics,24026,29818,23183,19078
189,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Engineering Physics,24038,,24363,23713
190,IIIT,Indian Institute of Information Technology (IIIT) Pune,Electronics and Communication Engineering,24457,22399,23592,27380
191,NIT,"National Institute of Technology, Kurukshetra",Mechanical Engineering,24517,25489,23310,24753
192,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",Computer Science and Engineering,24704,22296,24416,27400
193,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems,24892,,,24892
194,NIT,National Institute of Technology Patna,Mechatronics and Automation Engineering,24970,,24053,25887
195,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering,25169,24413,23999,27095
196,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Information Technology,25425,23671,23624,28979
197,NIT,"National Institute of Technology, Silchar",Electrical Engineering,25535,26321,24365,25920
198,NIT,"National Institute of Technology, Andhra Pradesh",Electronics and Communication Engineering,25689,24683,25707,26678
199,IIIT,Indian Institute of Information Technology Surat,Computer Science and Engineering,25706,23303,25108,28707
200,NIT,Malaviya National Institute of Technology Jaipur,Chemical Engineering,25816,26958,25049,25442
201,NIT,"National Institute of Technology, Uttarakhand",Electronics and Communication Engineering,25925,25380,26226,26168
202,NIT,National Institute of Technology Calicut,Energy Engineering,25927,,,25927
203,NIT,Maulana Azad National Institute of Technology Bhopal,Energy and Electrical Vehicle Engineering,25974,,,25974
204,NIT,National Institute of Technology Hamirpur,Electrical Engineering,26080,26867,25782,25590
205,NIT,"National Institute of Technology, Rourkela",Physics,26186,33330,22008,23219
206,NIT,National Institute of Technology Sikkim,Computer Science and Engineering,26331,24093,28284,26616
207,NIT,"National Institute of Technology, Warangal",Civil Engineering,26369,28010,25857,25239
208,IIIT,Indian Institute of Information Technology Surat,Computer Science and Engineering (Artificial Intelligence and Machine Learning),26485,,,26485
209,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Data Science),26656,,24335,28976
210,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Electronics and Communication Engineering,26708,26657,27634,25834
211,NIT,"National Institute of Technology, Rourkela",Civil Engineering,26848,29370,25893,25282
212,IIIT,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Computer Science and Engineering,26887,27829,26444,26387
213,NIT,National Institute of Technology Patna,Electrical Engineering,27102,26512,26872,27921
